validScientificName,family.ORIG,order,superOrder,seedStructure,lifeCycleHabit,growthHabit,c,s,r,csr,priority,validScientificName.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name
Inga laurina,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,47.27,46.81,5.92,CS,7,Inga laurina (Sw.) Willd.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,1485,1,wfo-0000183520,urn:lsid:ipni.org:names:1199545-2,29584,Inga laurina,species,wfo-4000019086,(Sw.) Willd.,Fabaceae,"","",,Inga,"",laurina,"",species,Valid,"Sp. Pl., ed. 4, 4: 1018 (1806)",Accepted,"","",,"Source in seed data: ildis Update namepublishedIn from Sp. Pl., ed. 4 [Willdenow] 4(2): 1018. 1806 [Apr 1806]  to Sp. Pl., ed. 4 , 4: 1018 (1806), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.the",https://www.legumedata.org/taxonomy/taxon/865412,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-29584,"",FALSE,"","",""
Inga marginata Willd.,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,45.85,45.41,8.73,CS,7,Inga marginata Willd.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,7,1486,1,wfo-0000183521,urn:lsid:ipni.org:names:128599-2,29585,Inga marginata,species,wfo-4000019086,Willd.,Fabaceae,"","",,Inga,"",marginata,"",species,Valid,"Sp. Pl., ed. 4, 4: 1015 (1806)",Accepted,"","",,"Source in seed data: ildis Update namepublishedIn from Sp. Pl., ed. 4 [Willdenow] 4(2): 1015. 1806 [Apr 1806]  to Sp. Pl., ed. 4 , 4: 1015 (1806), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.the",https://www.legumedata.org/taxonomy/taxon/865462,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-29585,"",FALSE,"","",""
Inga mucuna Walp. & Duchass.,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,73.89,15.44,10.67,C/CS,7,Inga mucuna Walp. & Duchass.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,17,1487,1,wfo-0000173663,urn:lsid:ipni.org:names:500629-1,19805,Inga mucuna,species,wfo-4000019086,Walp.,Fabaceae,"","",,Inga,"",mucuna,"",species,Valid,Ann. Bot. Syst.2: 459 (1852),Accepted,"","",,"Source in seed data: ildis Update namepublishedIn from Ann. Bot. Syst. (Walpers) 2(3): 459. 1852 [25-28 Feb 1852]  to Ann. Bot. Syst. 2: 459 (1852), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.t",https://www.legumedata.org/taxonomy/taxon/865507,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-19805,"",FALSE,"","",""
Inga mucuna Walp. & Duchass.,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,73.89,15.44,10.67,C/CS,7,Inga mucuna Walp. & Duchass.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,17,1487,2,wfo-0001053716,"",13021310,Inga mucuna,species,wfo-4000019086,Walp. & Duchass.,Fabaceae,"","",,Inga,"",mucuna,"",species,Valid,Ann. Bot. Syst. 2(3): 459–460 1852,Accepted,"","",,"Source in seed data: tro Updated taxonomicstatus from Accepted to accepted, acceptedNameId from to null, [references] from https://wcvp.science.kew.org/taxon/500629-1,  according to WCVP, information provided by Alan E. on email Dec 02 2020 More details ",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:500629-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,tro-13021310,"",FALSE,"","",""
Inga nobilis Willd.,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,60.57,33.57,5.86,C/CS,7,Inga nobilis Willd.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,7,1488,1,wfo-0000165741,urn:lsid:ipni.org:names:128633-2,12168,Inga nobilis,species,wfo-4000019086,Willd.,Fabaceae,"","",,Inga,"",nobilis,"",species,Valid,Enum. Pl.: 1047 (1809),Accepted,"","",,"Source in seed data: ildis Update namepublishedIn from Enum. Pl. [Willdenow] 1047. 1809  to Enum. Pl. : 1047 (1809), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/il",https://www.legumedata.org/taxonomy/taxon/865524,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-12168,"",FALSE,"","",""
Inga pezizifera Benth.,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,59.64,29.98,10.38,C/CSR,7,Inga pezizifera Benth.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,7,1489,1,wfo-0000165760,urn:lsid:ipni.org:names:128673-2,12189,Inga pezizifera,species,wfo-4000019086,Benth.,Fabaceae,"","",,Inga,"",pezizifera,"",species,Valid,London J. Bot.4: 587 (1845),Accepted,"","",,"Source in seed data: ildis Update namepublishedIn from  to London J. Bot. 4: 587 (1845), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-12189 >The Plant List v.1.",https://www.legumedata.org/taxonomy/taxon/865587,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-12189,"",FALSE,"","",""
Inga punctata Willd.,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,58.73,37.08,4.19,CS,7,Inga punctata Willd.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,7,1490,1,wfo-0000182126,urn:lsid:ipni.org:names:128693-2,28221,Inga punctata,species,wfo-4000019086,Willd.,Fabaceae,"","",,Inga,"",punctata,"",species,Valid,"Sp. Pl., ed. 4, 4: 1016 (1806)",Accepted,"","",,"Source in seed data: ildis Update namepublishedIn from  to Sp. Pl., ed. 4 , 4: 1016 (1806), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-28221 >The Plant List v",https://www.legumedata.org/taxonomy/taxon/865632,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-28221,"",FALSE,"","",""
Inga ruiziana G. Don,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,73.79,21.99,4.22,C/CS,7,Inga ruiziana G. Don,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,7,1491,1,wfo-0000165784,urn:lsid:ipni.org:names:128721-2,12212,Inga ruiziana,species,wfo-4000019086,G.Don,Fabaceae,"","",,Inga,"",ruiziana,"",species,Valid,Gen. Hist.2: 391 (1832),Accepted,"","",,"Source in seed data: ildis Update namepublishedIn from  to Gen. Hist. 2: 391 (1832), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-12212 >The Plant List v.1.1.</",https://www.legumedata.org/taxonomy/taxon/865679,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-12212,"",FALSE,"","",""
Inga sapindoides Willd.,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,66.32,25.71,7.98,C/CS,7,Inga sapindoides Willd.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,7,1492,1,wfo-0000183491,urn:lsid:ipni.org:names:128732-2,29554,Inga sapindoides,species,wfo-4000019086,Willd.,Fabaceae,"","",,Inga,"",sapindoides,"",species,Valid,"Sp. Pl., ed. 4, 4: 1012 (1806)",Accepted,"","",,"Source in seed data: ildis Update namepublishedIn from  to Sp. Pl., ed. 4 , 4: 1012 (1806), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-29554 >The Plant List v",https://www.legumedata.org/taxonomy/taxon/865696,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-29554,"",FALSE,"","",""
Inga spectabilis,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,73.58,23.12,3.3,C/CS,7,Inga spectabilis (Vahl) Willd.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,1493,1,wfo-0000173672,urn:lsid:ipni.org:names:1122303-2,19814,Inga spectabilis,species,wfo-4000019086,(Vahl) Willd.,Fabaceae,"","",,Inga,"",spectabilis,"",species,Valid,"Sp. Pl., ed. 4, 4: 1017 (1806)",Accepted,"","",,"Source in seed data: ildis Update namepublishedIn from Sp. Pl., ed. 4 [Willdenow] 4(2): 1017. 1806 [Apr 1806]  to Sp. Pl., ed. 4 , 4: 1017 (1806), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.the",https://www.legumedata.org/taxonomy/taxon/865742,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-19814,"",FALSE,"","",""
Inga thibaudiana DC.,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,58.15,34.09,7.76,CS,7,Inga thibaudiana DC.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,4,1494,1,wfo-0000165823,urn:lsid:ipni.org:names:128789-2,12252,Inga thibaudiana,species,wfo-4000019086,DC.,Fabaceae,"","",,Inga,"",thibaudiana,"",species,Valid,Prodr.2: 434 (1825),Accepted,"","",,"Source in seed data: ildis Update namepublishedIn from  to Prodr. 2: 434 (1825), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-12252 >The Plant List v.1.1.</a> O",https://www.legumedata.org/taxonomy/taxon/865810,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-12252,"",FALSE,"","",""
Inga umbellifera,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,55.58,35.56,8.85,CS,7,Inga umbellifera (Vahl) Steud.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,1495,1,wfo-0000173674,"",19816,Inga umbellifera,species,wfo-4000019086,(Vahl) DC.,Fabaceae,"","",,Inga,"",umbellifera,"",species,Valid,"",Accepted,"","",,"Source in seed data: ildis Updated taxonomicstatus from Accepted to accepted, acceptedNameId from to null, [references] from http://www.theplantlist.org/tpl1.1/record/ild-19816,  according to WCVP, information provided by Alan E. on email Dec 02 2020 Mor",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1035636-2,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-19816,"",FALSE,"","",""
Inga umbellifera,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,55.58,35.56,8.85,CS,7,Inga umbellifera (Vahl) Steud.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,1495,2,wfo-0001053728,urn:lsid:ipni.org:names:1035636-2,13021409,Inga umbellifera,species,wfo-4000019086,(Vahl) Steud. ex DC.,Fabaceae,"","",,Inga,"",umbellifera,"",species,Valid,Prodr.2: 432 (1825),Accepted,"","",,"Source in seed data: tro Update namepublishedIn from Nomencl. Bot. 1: 431 1821  to Prodr. 2: 432 (1825), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-13021409 >",https://www.legumedata.org/taxonomy/taxon/865832,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,tro-13021409,"",FALSE,"","",""
Inula britannica L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,50.06,0,49.94,CR,1,Inula britannica L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,11,1496,1,wfo-0001422099,urn:lsid:ipni.org:names:77178407-1,1217682-az,Pentanema britannicum,species,wfo-4000028599,"(L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.",Asteraceae,"","",,Pentanema,"",britannicum,"",species,Valid,Taxon 67(1): 159. 2018 [6 Mar 2018],Accepted,"","",,"Source in seed data: wcvp Updated scientificnameAuthorship from (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M to (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort., information provided by Alan E. on email Oct. 12 2020",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77178407-1,The Asteraceaae TEN,A,"","",TRUE,Synonym,wfo-0001322866,Inula britannica f. sublanata
Inula helenium L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,84.09,9.25,6.66,C,1,Inula helenium L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,15,1497,1,wfo-0000054493,urn:lsid:ipni.org:names:77180762-1,GCC-650446B3-3206-4FFC-A6DD-A73D427C2D02,Inula helenium  subsp. helenium,subspecies,wfo-0001422104,"",Asteraceae,"","",,Inula,"",helenium,helenium,subspecies,Valid,"",Accepted,"","",,Source in seed data: gcc More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-153102 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/gcc-153102 >The Plant List v.1.0</a>,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77180762-1,The Asteraceaae TEN,A,gcc-153102,"",FALSE,"","",""
Inula helenium L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,84.09,9.25,6.66,C,1,Inula helenium L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,15,1497,2,wfo-0000069244,urn:lsid:ipni.org:names:877488-1,GCC-1E74A5B9-CD36-4CD1-9B2E-3035CAAF1748,Inula helenium  subsp. orgyalis,subspecies,wfo-0000120207,(Boiss.) Grierson,Asteraceae,"","",,Inula,"",helenium,orgyalis,subspecies,Valid,Notes Roy. Bot. Gard. Edinburgh 33(2): 249 (1974),Accepted,"",wfo-0000045423,,"Source in seed data: gcc Update namepublishedIn from Notes Roy. Bot. Gard. Edinburgh 33(2): 249. 1974  to Notes Roy. Bot. Gard. Edinburgh 33(2): 249 (1974), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http",http://www.theplantlist.org/tpl1.1/record/gcc-26076,The Asteraceaae TEN,A,gcc-26076,"",FALSE,"","",""
Inula helenium L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,84.09,9.25,6.66,C,1,Inula helenium L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,15,1497,3,wfo-0001363879,urn:lsid:ipni.org:names:877491-1,877491-1,Inula helenium  subsp. vanensis,subspecies,wfo-0000120207,Grierson,Asteraceae,"","",,Inula,"",helenium,vanensis,subspecies,Valid,Notes Roy. Bot. Gard. Edinburgh 33(2): 249 (1974),Accepted,"","",,"Source in seed data: ipni Update namepublishedIn from Notes Roy. Bot. Gard. Edinburgh 33(2): 249. 1974  to Notes Roy. Bot. Gard. Edinburgh 33(2): 249 (1974), information provided by Alan E. on email Jun. 07 2021",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:877491-1,The Asteraceaae TEN,A,"","",FALSE,"","",""
Inula hirta L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,18.17,64.97,16.86,S/CSR,1,Inula hirta L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,3,1498,1,wfo-0001422106,urn:lsid:ipni.org:names:77178414-1,1217689-az,Pentanema hirtum,species,wfo-4000028599,"(L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.",Asteraceae,"","",,Pentanema,"",hirtum,"",species,Valid,Taxon 67(1): 159. 2018,Accepted,"","",,"Source in seed data: wcvp Updated scientificnameAuthorship from (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M to (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort., information provided by Alan E. on email Oct. 12 2020",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77178414-1,The Asteraceaae TEN,A,"","",TRUE,Synonym,wfo-0000072663,Inula hirta
Inula hirta L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,18.17,64.97,16.86,S/CSR,1,Inula hirta L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,3,1498,2,wfo-0001422099,urn:lsid:ipni.org:names:77178407-1,1217682-az,Pentanema britannicum,species,wfo-4000028599,"(L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.",Asteraceae,"","",,Pentanema,"",britannicum,"",species,Valid,Taxon 67(1): 159. 2018 [6 Mar 2018],Accepted,"","",,"Source in seed data: wcvp Updated scientificnameAuthorship from (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M to (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort., information provided by Alan E. on email Oct. 12 2020",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77178407-1,The Asteraceaae TEN,A,"","",TRUE,Synonym,wfo-0000120250,Inula hirta
Inula salicina L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,21.85,33.49,44.65,SR/CSR,1,Inula salicina L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,10,1499,1,wfo-0001331174,urn:lsid:ipni.org:names:60477682-2,60477682-2,Pentanema asperum,species,wfo-4000028599,(Poir.) G.V.Boiko & Korniy.,Asteraceae,"","",,Pentanema,"",asperum,"",species,Valid,Ukrayins'k. Bot. Zhurn. 75(5): 437. 2018,Accepted,"","",,"Source in seed data: ipni Update namepublishedIn from Ukrayins'k. Bot. Zhurn. 75(5): 437. 2018  to Ukrayins'k. Bot. Zhurn. 75: 437 (2018), information provided by Alan E. on email Jun. 07 2021",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60477682-2,The Asteraceaae TEN,A,"","",TRUE,Synonym,wfo-0000107190,Inula salicina var. aspera
Ipomopsis aggregata,Polemoniaceae,Ericales,Asteranae,Dicot,perennial,forb,45.35,0,54.65,CR,4,Ipomopsis aggregata (Pursh) V.E. Grant,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,1500,1,wfo-0001099625,urn:lsid:ipni.org:names:129820-2,25800208,Ipomopsis aggregata,species,wfo-4000019163,(Pursh) V.E.Grant,Polemoniaceae,"","",,Ipomopsis,"",aggregata,"",species,Valid,Aliso 3: 360 (1956),Accepted,"","",,"Source in seed data: tro Update namepublishedIn from Aliso 3(3): 360 1956  to Aliso 3: 360 (1956), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-25800208 >The Pl",http://www.theplantlist.org/tpl1.1/record/tro-25800208,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,tro-25800208,"",FALSE,"","",""
Ipomopsis multiflora,Polemoniaceae,Ericales,Asteranae,Dicot,perennial,shrub,5.36,34.98,59.66,SR,4,Ipomopsis multiflora (Nutt.) V.E. Grant,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,1501,1,wfo-0001099602,urn:lsid:ipni.org:names:129849-2,25800004,Ipomopsis multiflora,species,wfo-4000019163,(Nutt.) V.E.Grant,Polemoniaceae,"","",,Ipomopsis,"",multiflora,"",species,Valid,Aliso 3: 357 (1956),Accepted,"","",,"Source in seed data: tro Update namepublishedIn from Aliso 3(3): 357 1956  to Aliso 3: 357 (1956), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-25800004 >The Pl",http://www.theplantlist.org/tpl1.1/record/tro-25800004,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,tro-25800004,"",FALSE,"","",""
Iris foetidissima L.,Iridaceae,Asparagales,Lilianae,Monocot,perennial,forb,60.73,37.78,1.49,CS,1,Iris foetidissima L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,10,1502,1,wfo-0000783342,urn:lsid:ipni.org:names:438606-1,321835,Iris foetidissima,species,wfo-4000019189,L.,Iridaceae,"","",,Iris,"",foetidissima,"",species,Valid,Sp. Pl. : 39 (1753),Accepted,"","",,"Source in seed data: iplants Update namepublishedIn from Sp. Pl. 39 1753  to Sp. Pl. : 39 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-321835 >The Plant",http://www.theplantlist.org/tpl1.1/record/kew-321835,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-321835,"",TRUE,Synonym,wfo-0000919165,Iris foetidissima var. livida
Iris graminea L.,Iridaceae,Asparagales,Lilianae,Monocot,perennial,forb,54.65,33.38,11.97,C/CSR,1,Iris graminea L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,13,1503,1,wfo-0000783399,urn:lsid:ipni.org:names:438663-1,321895,Iris graminea,species,wfo-4000019189,L.,Iridaceae,"","",,Iris,"",graminea,"",species,Valid,Sp. Pl. : 39 (1753),Accepted,"","",,"Source in seed data: iplants Update namepublishedIn from Sp. Pl. 1: 39. 1753 [1 May 1753]  to Sp. Pl. : 39 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-",http://www.theplantlist.org/tpl1.1/record/kew-321895,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-321895,"",TRUE,Synonym,wfo-0000802569,Iris graminea var. latifolia
Iris graminea L.,Iridaceae,Asparagales,Lilianae,Monocot,perennial,forb,54.65,33.38,11.97,C/CSR,1,Iris graminea L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,13,1503,2,wfo-0000783399,urn:lsid:ipni.org:names:438663-1,321895,Iris graminea,species,wfo-4000019189,L.,Iridaceae,"","",,Iris,"",graminea,"",species,Valid,Sp. Pl. : 39 (1753),Accepted,"","",,"Source in seed data: iplants Update namepublishedIn from Sp. Pl. 1: 39. 1753 [1 May 1753]  to Sp. Pl. : 39 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-",http://www.theplantlist.org/tpl1.1/record/kew-321895,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-321895,"",TRUE,Synonym,wfo-0000802571,Iris graminea var. sylvatica
Iris missouriensis Nutt.,Iridaceae,Asparagales,Lilianae,Monocot,perennial,forb,48.9,51.1,0,CS,4,Iris missouriensis Nutt.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,6,1504,1,wfo-0000783633,urn:lsid:ipni.org:names:438880-1,322138,Iris missouriensis,species,wfo-4000019189,Nutt.,Iridaceae,"","",,Iris,"",missouriensis,"",species,Valid,J. Acad. Nat. Sci. Philadelphia 7: 58 (1834),Accepted,"","",,"Source in seed data: iplants Update namepublishedIn from J. Acad. Nat. Sci. Philadelphia 7: 58 1834  to J. Acad. Nat. Sci. Philadelphia 7: 58 (1834), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.",http://www.theplantlist.org/tpl1.1/record/kew-322138,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-322138,"",FALSE,"","",""
Iris pseudacorus L.,Iridaceae,Asparagales,Lilianae,Monocot,perennial,forb,81.9,4.25,13.85,C,1,Iris pseudacorus L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,10,1505,1,wfo-0000783754,urn:lsid:ipni.org:names:438992-1,322261,Iris pseudacorus,species,wfo-4000019189,L.,Iridaceae,"","",,Iris,"",pseudacorus,"",species,Valid,Sp. Pl. : 38 (1753),Accepted,"","",,"Source in seed data: iplants Update namepublishedIn from Sp. Pl. 1: 38. 1753 [1 May 1753]  to Sp. Pl. : 38 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-",http://www.theplantlist.org/tpl1.1/record/kew-322261,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-322261,"",TRUE,Synonym,wfo-0000839569,Iris pseudacorus f. submersa
Iris sibirica L.,Iridaceae,Asparagales,Lilianae,Monocot,perennial,forb,36.5,38.49,25.01,CSR,1,Iris sibirica L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,9,1506,1,wfo-0000783854,urn:lsid:ipni.org:names:439087-1,322377,Iris sibirica,species,wfo-4000019189,L.,Iridaceae,"","",,Iris,"",sibirica,"",species,Valid,Sp. Pl. : 39 (1753),Accepted,"","",,"Source in seed data: iplants Update namepublishedIn from Sp. Pl. 1: 39. 1753 [1 May 1753]  to Sp. Pl. : 39 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-",http://www.theplantlist.org/tpl1.1/record/kew-322377,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-322377,"",TRUE,Synonym,wfo-0000839147,Iris sibirica var. acuta
Isatis tinctoria L.,Brassicaceae,Brassicales,Rosanae,Dicot,perennial,forb,57.83,0,42.17,CR,1,Isatis tinctoria L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,11,1507,1,wfo-0000732433,urn:lsid:ipni.org:names:285873-1,993711,Isatis tinctoria,species,wfo-4000019213,L.,Brassicaceae,"","",,Isatis,"",tinctoria,"",species,Valid,Sp. Pl. : 670 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 2: 670. 1753 [1 May 1753]  to Sp. Pl. : 670 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-28",http://www.theplantlist.org/tpl1.1/record/kew-2867046,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2867046,"",TRUE,Synonym,wfo-0001218347,Isatis tinctoria var. praecox
Ischaemum afrum,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,14.91,76.86,8.23,S/CS,8,Ischaemum afrum (J.F. Gmel.) Dandy,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,1508,1,wfo-0000876100,urn:lsid:ipni.org:names:406103-1,420560,Ischaemum afrum,species,wfo-4000019218,(J.F.Gmel.) Dandy,Poaceae,"","",,Ischaemum,"",afrum,"",species,Valid,Fl. Pl. Sudan 3: 476 (1956),Accepted,"",wfo-0000846058,,"Source in seed data: wcs Update namepublishedIn from in F. W. Andrews, Fl. Pl. Sudan iii. 476 (1956).  to Fl. Pl. Sudan 3: 476 (1956), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.or",http://www.theplantlist.org/tpl1.1/record/kew-420560,The Poaceae TEN,A,kew-420560,"",FALSE,"","",""
