validScientificName
Byrsonima dealbata Griseb.
Byrsonima sericea DC.
Byrsonima verbascifolia (L.) DC.
Cacalia plantaginea (Raf.) Shinners
Caesalpinia echinata Lam.
Calamagrostis arundinacea (L.) Roth
Calamagrostis canescens (Weber) Roth
Calamagrostis purpurea (Trin.) Trin.
Calamagrostis varia (Schrad.) Host varia
Calamagrostis villosa (Chaix) G. F. Gmel.
Calamintha nepeta (L.) Savi
Calea coronopifolia Sch.Bip. ex Krasch.
Calendula arvensis L.
Calepina irregularis (Asso) Thell.
Calicotome spinosa (L.) Link
Calla palustris L.
Callerya atropurpurea (Wall.) A. Schott
Calliandra linearis Benth.
Calliandra parvifolia (Hook. & Arn.) Speg.
Callichlamys latifolia (Rich.) K. Schum.
Callitriche hamulata Kütz. ex W.D.J. Koch
Callitriche palustris L.
Callitriche platycarpa Kütz.
Callitriche stagnalis Scop. emend. Kutz
Calluna vulgaris (L.) Hull
Calophyllum brasiliense Cambess.
Calophyllum longifolium Willd.
Caltha palustris L.
Calystegia sepium (L.) R. Br.
Calystegia silvatica (Kit.) Griseb.
Calystegia soldanella (L.) R. Br.
Camelina microcarpa Andrz. ex DC.
Campanula barbata L.
Campanula cenisia L.
Campanula cervicaria L.
Campanula cochleariifolia Lam.
Campanula collina M. Bieb.
Campanula excisa Schleich.
Campanula glomerata L.
Campanula latifolia L.
Campanula persicifolia L.
Campanula raineri Perp.
Campanula rapunculoides L.
Campanula rapunculus L.
Campanula rotundifolia L. rotundifolia
Campanula scheuchzeri Vill.
Campanula sibirica L.
Campanula spicata L.
Campanula trachelium L.
Campanula tridentata Schreb.
Canarium littorale Blume littorale
Canarium littorale Blume rufum Leenh.
Cannabis sativa L.
Capparis frondosa Jacq.
Capsella bursa-pastoris (L.) Medik. bursa-pastoris
Capsella grandiflora (Fauché & Chaub.) Boiss.
Capsella rubella Reut.
Caragana arborescens Lam.
Caraipa densifolia Mart.
Carapa guianensis Aubl.
Cardamine bellidifolia L. alpina (Willd.) B. M. G. Jones
Cardamine bulbifera (L.) Crantz
Cardamine heptaphylla (Vill.) O. E. Schulz
Cardamine hirsuta L.
Cardamine parviflora L.
Cardamine pratensis L.
Cardamine resedifolia L.
Cardaminopsis arenosa (L.) Hayek
Cardaminopsis halleri (L.) Hayek
Cardaminopsis petraea (L.) Hiitonen
Cardaria draba (L.) Desv.
Carduus acanthoides L.
Carduus defloratus L.
Carex acuta L.
Carex acutiformis Ehrh.
Carex alba Scop.
Carex appropinquata Schumach.
Carex aquatilis Wahlenb.
Carex arenaria L.
Carex atrata L.
Carex atrofusca Schkuhr
Carex baldensis L.
Carex bicknellii Britton
Carex bigelowii Torr. ex Schwein.
Carex brevior (Dewey) Mack. ex Lunell
Carex brizoides L.
Carex buxbaumii Wahlenb.
Carex caespitosa L.
Carex capillaris L.
Carex caryophyllea Latourr.
Carex cherokeensis Schwein.
Carex chordorrhiza Ehrh. ex L. f.
Carex curta Gooden.
Carex curvula All. curvula
Carex curvula All. rosae Gilomen
Carex davalliana Sm.
Carex demissa Hornem.
Carex digitata L.
Carex dioica L.
Carex distans L.
Carex divulsa Stokes
Carex echinata Murray
Carex elata All. elata
Carex elongata L.
Carex extensa Gooden.
Carex ferruginea Scop. austroalpina (Bech.) W. Dietr.
Carex ferruginea Scop. ferruginea
Carex firma Host
Carex flacca Schreb.
Carex flava L.
Carex foenea Willd.
Carex frigida All.
Carex fritschii Waisb.
Carex fuscula d'Urv.
Carex geophila Mack.
Carex hallerana Asso
Carex hirta L.
Carex hostiana DC.
Carex houghtoniana Torr. ex Dewey
Carex humilis Leyss.
Carex lachenalii Schkuhr
Carex lasiocarpa Ehrh.
Carex ligerica J. Gay
Carex limosa L.
Carex liparocarpos Gaudin liparocarpos
Carex magellanica Lam.
Carex meadii Dewey
Carex montana L.
Carex mucronata All.
Carex muhlenbergii Kunth ex Boott
Carex nigra (L.) Reichard
Carex norvegica Retz.
Carex oreophila C.A. Mey.
Carex ornithopoda Willd.
Carex ovalis Gooden.
Carex pallescens L.
Carex panicea L.
Carex paniculata L.
Carex pauciflora Lightf.
Carex paupercula Michx.
Carex pedunculata Muhl. ex Willd.
Carex pensylvanica Lam.
Carex pilosa Scop.
Carex pilulifera L. pilulifera
Carex pseudocyperus L.
Carex pulicaris L.
Carex punctata Gaudin
Carex pyrenaica Wahlenb.
Carex remota L.
Carex richardsonii R. Br. ex Richardson
Carex riparia Curtis
Carex rostrata Stokes
Carex rupestris All.
Carex sartwellii Dewey
Carex saxatilis L.
Carex scandinavica E. W. Davies
Carex sempervirens Vill.
Carex siccata Dewey
Carex sparganioides Dewey
Carex spicata Huds.
Carex sylvatica Huds. sylvatica
Carex tomentosa L.
Carex trinervis Degland
Carex umbrosa Host umbrosa
Carex vaginata Tausch
Carex vesicaria L.
Carex vulpina L.
Carex vulpinoidea Michx.
Carex xerantica L.H. Bailey
Carlina acaulis L.
Carlina vulgaris L. vulgaris
Carpinus betulus L.
Carthamus tinctorius L.
Carum carvi L.
Carum caucasicum Boiss.
Carum meifolium Boiss.
Casearia aculeata Jacq.
Casearia arborea (Rich.) Urb.
Casearia commersoniana Cambess.
Casearia guianensis (Aubl.) Urb.
Casearia javitensis Kunth
Casearia sylvestris Sw.
Cassandra calyculata (L.) D. Don
Cassipourea elliptica (Sw.) Poir.
Castanea sativa Mill.
Castilla elastica Sessé
Castilleja austromontana Standl. & Blumer
Castilleja integra A. Gray
Catabrosa aquatica (L.) P. Beauv.
Catabrosella variegata (Boiss.) Tzvelev
Catananche caerulea L.
Caulophyllum thalictroides (L.) Michx.
Cavanillesia platanifolia (Bonpl.) Kunth
Cayaponia granatensis Cogn.
Ceanothus fendleri A. Gray
Cecropia insignis Liebm.
Cecropia longipes Pittier
Cecropia obtusifolia Bertol.
Cecropia pachystachya Trécul
Cedrela odorata L.
Cedrus deodara (Roxb. ex D. Don) G. Don
Ceiba pentandra (L.) Gaertn.
Celtis australis L.
Celtis iguanaeus L.
Celtis schippii Standl.
Cenchrus longispinus (Hack.) Fernald
Centaurea aspera L.
Centaurea calcitrapa L.
Centaurea cheiranthifolia Willd.
Centaurea cyanus L.
Centaurea deusta Ten. splendens (Arcang.) Matthäs & Pignatti
Centaurea diffusa Lam.
Centaurea jacea L. gaudinii (Boiss. & Reut.) Gremli
Centaurea maculosa Lam.
Centaurea nigra L.
Centaurea nigrescens Willd. nigrescens
Centaurea phrygia L.
Centaurea rhaetica Moritzi
Centaurea scabiosa L.
Centaurea solstitialis L.
Centaurea stoebe L.
Centaurea uniflora Turra nervosa (Willd.) Bonnier & Layens
Centaurium erythraea Rafn erythraea
Centaurium littorale (Turner) Gilmour
Centaurium pulchellum (Sw.) Druce
Centranthus ruber (L.) DC.
Cephalanthera damasonium (Mill.) Druce
Cephalanthera longifolia (L.) Fritsch
Cephalotaxus fortunei Hook.
Cerastium alpinum L.
Cerastium arvense L.
Cerastium brachypetalum Desp. ex Pers. brachypetalum
Cerastium cerastoides (L.) Britton
Cerastium fontanum Baumg.
Cerastium glomeratum Thuill.
Cerastium holosteoides Fr.
Cerastium latifolium L.
Cerastium ligusticum Viv.
Cerastium pedunculatum Gaudin
Cerastium pumilum Curtis
Cerastium purpurascens Adams
Cerastium semidecandrum L.
Cerastium tomentosum L.
Cerastium uniflorum Clairv.
Cerastium vulgare Hartm.
Ceratocapnos claviculata (L.) Lidén
Ceratochloa cathartica (Vahl) Herter
Ceratophyllum demersum L.
Ceratostigma plumbaginoides Bunge
Cercis canadensis L.
Cercis siliquastrum L. siliquastrum
Cerinthe minor L. minor
Cespedesia spathulata (Ruiz & Pav.) Planch.
Cestrum megalophyllum Dunal
Ceterach officinarum Willd. officinarum
Chaenorhinum minus (L.) Lange
Chaerophyllum bulbosum L.
Chaerophyllum hirsutum L.
Chaerophyllum roseum M. Bieb.
Chaetocarpus myrsinites Baill.
Chaetopappa ericoides (Torr.) G.L. Nesom
Chamaecrista desvauxii var. langsdorffii (Kunth ex Vogel) H.S. Irwin & Barneby
Chamaecrista ensiformis (Vell.) H.S. Irwin & Barneby
Chamaecrista fasciculata (Michx.) Greene
Chamaecrista ochnacea var. purpurascens (Benth.) H.S. Irwin & Barneby
Chamaecrista papillata H.S. Irwin & Barneby
Chamaesciadium acaule (M. Bieb.) C.A. Mey.
Chamaesyce fendleri (Torr. & A. Gray) Small
Chamerion angustifolium (L.) Holub
Chamguava schippii (Standl.) L.R. Landrum
Chamorchis alpina (L.) Rich.
Champereia manillana (Blume) Merr.
Chelidonium majus L.
Chenopodium album L. album
Chenopodium ambrosioides L.
Chenopodium bonus-henricus L.
Chenopodium ficifolium Sm.
Chenopodium fremontii S. Watson
Chenopodium glaucum L.
Chenopodium hybridum L.
Chenopodium rubrum L.
Chenopodium urbicum L.
Chimarrhis parviflora Standl.
Chondrilla juncea L.
Chrysanthemum leucanthemum L.
Chrysochlamys eclipes L.O. Williams
Chrysophyllum argenteum Jacq.
Chrysophyllum cainito L.
