species,author,popularNameNO,establishmentClass,alienStatus,riskCategory,validScientificName,validScientificName.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name,One.Reason
Pectinatella magnifica,"(Leidy, 1851)","",A,Dørstokkart,HI,Pectinatella magnifica,"Pectinatella magnifica (Leidy, 1851)",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,TRUE,12,1646,1,wfo-4000002109,urn:lsid:ipni.org:names:325979-2,40014684,Angraecum,genus,wfo-7000000429,Bory,Orchidaceae,"","",,Angraecum,"","","",genus,Valid,Voy. îles Afrique 1: 359 (1804),Accepted,"","",,"Source in seed data: TPL1.1 Update namepublishedIn from Voy. Îles Afrique 1: 359. 1804.  to Voy. îles Afrique 1: 359 (1804), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/1.1/br","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,"","",TRUE,Synonym,wfo-4000043014,Pectinariella,""
Pediculus humanus subsp. capitis,"De Geer, 1778",hodelus,"",Etablert per år 1800,NR,Pediculus,"Pediculus humanus subsp. capitis De Geer, 1778",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0,FALSE,FALSE,15,1647,1,wfo-0000879802,urn:lsid:ipni.org:names:158000-2,424169,Mesosetum filifolium,species,wfo-4000023869,F.T.Hubb.,Poaceae,"","",,Mesosetum,"",filifolium,"",species,Valid,Proc. Amer. Acad. Arts 49: 494 (1913),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Proc. Amer. Acad. Arts 49: 494 1913  to Proc. Amer. Acad. Arts 49: 494 (1913), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/t",http://www.theplantlist.org/tpl1.1/record/kew-424169,The Poaceae TEN,A,kew-424169,"",TRUE,Synonym,wfo-0000888725,Peniculus angustifolius,""
Pelecus cultratus,"(Linnaeus, 1758)",sabelkarpe,A,Dørstokkart,LO,Pelecus cultratus,"Pelecus cultratus (Linnaeus, 1758)",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,TRUE,11,1648,1,wfo-0000744114,urn:lsid:ipni.org:names:77098510-1,1019264,Justicia trianae,species,wfo-4000019746,(Leonard) J.R.I.Wood,Acanthaceae,"","",,Justicia,"",trianae,"",species,Valid,Kew Bull. 64: 54 (2009),Accepted,"",wfo-0000393189,,"Source in seed data: cmp Update namepublishedIn from Kew Bull. 64(1): 54. 2009 [May 2009]  to Kew Bull. 64: 54 (2009), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/",http://www.theplantlist.org/tpl1.1/record/kew-2896435,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2896435,"",TRUE,Synonym,wfo-0000393189,Pelecostemon trianae,""
Pelophylax bedriagae,"(Camerano, 1882)","",A,Dørstokkart,NK,Pelophylax bedriagae,"Pelophylax bedriagae (Camerano, 1882)",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,TRUE,,1649,1,"",,,Pelophylax bedriagae,,,,,,,,,,,,,,,,"",,,,,,,,"",FALSE,"","","",no match found
Pelophylax esculentus,"(Linnaeus, 1758)",hybridfrosk,C3,Selvstendig reproduserende,SE,Pelophylax esculentus,"Pelophylax esculentus (Linnaeus, 1758)",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,TRUE,,1650,1,"",,,Pelophylax esculentus,,,,,,,,,,,,,,,,"",,,,,,,,"",FALSE,"","","",no match found
Pelophylax kurtmuelleri,"Gayda, 1940",balkanlatterfrosk,A,Dørstokkart,LO,Pelophylax,"Pelophylax kurtmuelleri Gayda, 1940",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,TRUE,,1651,1,"",,,Pelophylax,,,,,,,,,,,,,,,,"",,,,,,,,"",FALSE,"","","",no match found
Pelophylax lessonae f. lessonae,"",kontinental damfrosk,C3,Selvstendig reproduserende,SE,Pelophylax lessonae f. lessonae,Pelophylax lessonae f. lessonae ,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,TRUE,TRUE,,1652,1,"",,,Pelophylax lessonae f. lessonae,,,,,,,,,,,,,,,,"",,,,,,,,"",FALSE,"","","",no match found
Pelophylax ridibundus,"(Pallas, 1771)",latterfrosk,A,Dørstokkart,LO,Pelophylax ridibundus,"Pelophylax ridibundus (Pallas, 1771)",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,TRUE,,1653,1,"",,,Pelophylax ridibundus,,,,,,,,,,,,,,,,"",,,,,,,,"",FALSE,"","","",no match found
Penaeus aztecus,"Ives, 1891","",A,Dørstokkart,LO,Penaeus,"Penaeus aztecus Ives, 1891",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0,FALSE,FALSE,8,1654,1,wfo-0000994551,urn:lsid:ipni.org:names:737712-1,2397,Rubus irenaeus,species,wfo-4000033581,Focke,Rosaceae,"","",,Rubus,"",irenaeus,"",species,Valid,Bot. Jahrb. Syst. 29: 394 (1900),Accepted,"","",,"Source in seed data: rjp Update namepublishedIn from Bot. Jahrb. Syst. 29(3-4): 394. 1900 [4 Dec 1900]  to Bot. Jahrb. Syst. 29: 394 (1900), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantl",http://www.theplantlist.org/tpl1.1/record/rjp-2397,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,rjp-2397,"",FALSE,"","","",""
Penaeus japonicus,"Spence Bate, 1888","",A,Dørstokkart,LO,Penaeus,"Penaeus japonicus Spence Bate, 1888",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0,FALSE,FALSE,8,1655,1,wfo-0000994551,urn:lsid:ipni.org:names:737712-1,2397,Rubus irenaeus,species,wfo-4000033581,Focke,Rosaceae,"","",,Rubus,"",irenaeus,"",species,Valid,Bot. Jahrb. Syst. 29: 394 (1900),Accepted,"","",,"Source in seed data: rjp Update namepublishedIn from Bot. Jahrb. Syst. 29(3-4): 394. 1900 [4 Dec 1900]  to Bot. Jahrb. Syst. 29: 394 (1900), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantl",http://www.theplantlist.org/tpl1.1/record/rjp-2397,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,rjp-2397,"",FALSE,"","","",""
