species,author,popularNameNO,establishmentClass,alienStatus,riskCategory,validScientificName,validScientificName.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name,One.Reason
Brachidontes pharaonis,"(P. Fischer, 1870)","",A,Dørstokkart,LO,Brachidontes pharaonis,"Brachidontes pharaonis (P. Fischer, 1870)",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,TRUE,,327,1,"",,,Brachidontes pharaonis,,,,,,,,,,,,,,,,"",,,,,,,,"",FALSE,"","","",no match found
Branchiura sowerbyi,"Beddard, 1892","",A,Dørstokkart,LO,Branchiura,"Branchiura sowerbyi Beddard, 1892",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,TRUE,,328,1,"",,,Branchiura,,,,,,,,,,,,,,,,"",,,,,,,,"",FALSE,"","","",no match found
Branta canadensis,"(Linnaeus, 1758)",kanadagås,E,Selvstendig reproduserende,HI,Branta canadensis,"Branta canadensis (Linnaeus, 1758)",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,4,329,1,wfo-0000924607,urn:lsid:ipni.org:names:271519-1,47300,Cornus canadensis,species,wfo-4000009342,L.,Cornaceae,"","",,Cornus,"",canadensis,"",species,Valid,Sp. Pl. : 118 (1753),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 118 1753  to Sp. Pl. : 118 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-47300 >The Plant Li",http://www.theplantlist.org/tpl1.1/record/kew-47300,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-47300,"",TRUE,Synonym,wfo-0000959621,Eukrania canadensis,""
Branta hutchinsii,"(Richardson, 1832)",polargås,"",Ikke fremmed,NR,Branta hutchinsii,"Branta hutchinsii (Richardson, 1832)",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0,FALSE,TRUE,13,330,1,wfo-4000012771,urn:lsid:ipni.org:names:330601-2,40000130,Duranta,genus,wfo-7000000635,L.,Verbenaceae,"","",,Duranta,"","","",genus,Valid,Sp. Pl. : 637 (1753),Accepted,"","",,"Source in seed data: TPL1.1 Update namepublishedIn from Sp. Pl. 2: 637. 1753. (1 May 1753)  to Sp. Pl. : 637 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/1.1/browse/A/Ver","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,"","",FALSE,"","","",smallest ID
Brassica elongata,Ehrh.,rankkål,C3,Selvstendig reproduserende,LO,Brassica elongata Ehrh.,Brassica elongata Ehrh.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,10,331,1,wfo-0000571067,urn:lsid:ipni.org:names:279314-1,813884,Brassica elongata,species,wfo-4000005345,Ehrh.,Brassicaceae,"","",,Brassica,"",elongata,"",species,Valid,Beitr. Naturk. 7: 159 (1792),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Beitr. Naturk. 7: 159 1792  to Beitr. Naturk. 7: 159 (1792), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2",http://www.theplantlist.org/tpl1.1/record/kew-2682188,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2682188,"",TRUE,Synonym,wfo-0000571071,Brassica elongata var. astyla,smallest ID
Brassica elongata subsp. elongata,"",møllerankkål,"",Tidligere feilbestemt,NR,Brassica elongata subsp. elongata,Brassica elongata subsp. elongata ,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,332,1,wfo-0000571067,urn:lsid:ipni.org:names:279314-1,813884,Brassica elongata,species,wfo-4000005345,Ehrh.,Brassicaceae,"","",,Brassica,"",elongata,"",species,Valid,Beitr. Naturk. 7: 159 (1792),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Beitr. Naturk. 7: 159 1792  to Beitr. Naturk. 7: 159 (1792), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2",http://www.theplantlist.org/tpl1.1/record/kew-2682188,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2682188,"",TRUE,Synonym,wfo-0001036784,Brassica elongata subsp. elongata,""
Braula coeca,"Nitzsch, 1818","",C3,Selvstendig reproduserende,NK,Braula,"Braula coeca Nitzsch, 1818",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0,FALSE,FALSE,4,333,1,wfo-4000020625,urn:lsid:ipni.org:names:40161-1,40002101,Laserpitium,genus,wfo-7000000036,L.,Apiaceae,"","",,Laserpitium,"","","",genus,Valid,Sp. Pl. : 248 (1753),Accepted,"","",,"Source in seed data: TPL1.1 Update namepublishedIn from Sp. Pl. 1: 248. 1753. (1 May 1753)  to Sp. Pl. : 248 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/1.1/browse/A/Api","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,"","",TRUE,Synonym,wfo-4000044955,Bradlaeia,""
Bretziella fagacearum,"(Bretz) Z.W. de Beer, Marincowitz, T.A. Duong & M.J. Wingfield","",A,Dørstokkart,SE,Bretziella fagacearum,"Bretziella fagacearum (Bretz) Z.W. de Beer, Marincowitz, T.A. Duong & M.J. Wingfield",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,TRUE,,334,1,"",,,Bretziella fagacearum,,,,,,,,,,,,,,,,"",,,,,,,,"",FALSE,"","","",no match found
Bromopsis erecta,(Huds.) Fourr.,rakfaks,D1,Selvstendig reproduserende,LO,Bromopsis erecta,Bromopsis erecta (Huds.) Fourr.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,335,1,wfo-0000855493,urn:lsid:ipni.org:names:74718-3,400948,Bromus erectus,species,wfo-4000005481,Huds.,Poaceae,"","",,Bromus,"",erectus,"",species,Valid,Fl. Angl. (Hudson) 39. 1762 [Jan.-Jul. 1762],Accepted,"","",,"Source in seed data: wcs Updated namepublishedIn from Fl. Angl. 89 1762  to Fl. Angl. (Hudson) 39. 1762 [Jan.-Jul. 1762] , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/rec",http://www.theplantlist.org/tpl1.1/record/kew-400948,The Poaceae TEN,A,kew-400948,"",TRUE,Synonym,wfo-0000854979,Bromopsis erecta,""
Bromopsis inermis,(Leyss.) Holub,bladfaks,E,Selvstendig reproduserende,SE,Bromopsis inermis,Bromopsis inermis (Leyss.) Holub,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,336,1,wfo-0000855743,urn:lsid:ipni.org:names:74816-3,401195,Bromus inermis,species,wfo-4000005481,Leyss.,Poaceae,"","",,Bromus,"",inermis,"",species,Valid,Flora Halensis 1761,Accepted,"","",,"Source in seed data: wcs Updated namepublishedIn from Fl. Halens. 16 1761  to Flora Halensis 1761 , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-401195 >The Pla",http://www.theplantlist.org/tpl1.1/record/kew-401195,The Poaceae TEN,A,kew-401195,"",TRUE,Synonym,wfo-0000854998,Bromopsis inermis,""
Bromopsis pubescens,(Spreng.) Holub,breifaks,C3,Selvstendig reproduserende,LO,Bromopsis pubescens,Bromopsis pubescens (Spreng.) Holub,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,337,1,wfo-0000856269,urn:lsid:ipni.org:names:37133-2,401695,Bromus pubescens,species,wfo-4000005481,Muhl. ex Willd.,Poaceae,"","",,Bromus,"",pubescens,"",species,Valid,Enum. Pl. : 120 (1809),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Enum. Pl. 120 1809  to Enum. Pl. : 120 (1809), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-401695 >The Pla",http://www.theplantlist.org/tpl1.1/record/kew-401695,The Poaceae TEN,A,kew-401695,"",TRUE,Synonym,wfo-0000855048,Bromopsis pubescens,""
Bromus arvensis,L.,åkerfaks,C2,Etablert per år 1800,NR,Bromus arvensis L.,Bromus arvensis L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,9,338,1,wfo-0000855198,urn:lsid:ipni.org:names:393536-1,400659,Bromus arvensis,species,wfo-4000005481,L.,Poaceae,"","",,Bromus,"",arvensis,"",species,Valid,Sp. Pl. : 77 (1753),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 77 1753  to Sp. Pl. : 77 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-400659 >The Plant Lis",http://www.theplantlist.org/tpl1.1/record/kew-400659,The Poaceae TEN,A,kew-400659,"",TRUE,Synonym,wfo-0000855202,Bromus arvensis f. degener,smallest ID
Bromus secalinus,L.,rugfaks,"",Etablert per år 1800,NR,Bromus secalinus L.,Bromus secalinus L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,8,339,1,wfo-0000856443,urn:lsid:ipni.org:names:394095-1,401862,Bromus secalinus,species,wfo-4000005481,L.,Poaceae,"","",,Bromus,"",secalinus,"",species,Valid,Sp. Pl. : 76 (1753),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 76 1753  to Sp. Pl. : 76 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-401862 >The Plant Lis",http://www.theplantlist.org/tpl1.1/record/kew-401862,The Poaceae TEN,A,kew-401862,"",TRUE,Synonym,wfo-0000856446,Bromus secalinus f. hirtus,""
Bruchus rufimanus,"Boheman, 1833","",C0,Dørstokkart,LO,Bruchus,"Bruchus rufimanus Boheman, 1833",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0,FALSE,FALSE,4,340,1,wfo-4000047415,urn:lsid:ipni.org:names:23068-1,23068-1,Onobruchus,genus,"",Medik.,"","","",,Onobruchus,"","","",genus,"",Vorles. Churpfälz. Phys.-Öcon. Ges. ii. (1787) 372.,Unchecked,"","",,"Source in seed data: ipni New name from IPNI, information provided by Alan E. on email Oct. 12 2020","",ipni,"","","",FALSE,"","","",""
Brundinia meridionalis,"(Mulsant & Rey, 1853)","",B1,Dørstokkart,NK,Brundinia meridionalis,"Brundinia meridionalis (Mulsant & Rey, 1853)",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,TRUE,,341,1,"",,,Brundinia meridionalis,,,,,,,,,,,,,,,,"",,,,,,,,"",FALSE,"","","",no match found
Brunnera macrophylla,(Adams) I.M.Johnst.,kaukasusforglemmegei,C3,Selvstendig reproduserende,LO,Brunnera macrophylla,Brunnera macrophylla (Adams) I.M.Johnst.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,342,1,wfo-0000572861,urn:lsid:ipni.org:names:113714-1,815930,Brunnera macrophylla,species,wfo-4000005541,(Adams) I.M.Johnst.,Boraginaceae,"","",,Brunnera,"",macrophylla,"",species,Valid,Contr. Gray Herb. 73: 54 (1924),Accepted,"",wfo-0000368483,,"Source in seed data: cmp Update namepublishedIn from Contr. Gray Herb. 73: 54. 1924  to Contr. Gray Herb. 73: 54 (1924), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/recor",http://www.theplantlist.org/tpl1.1/record/kew-2684249,The Boraginaceae TEN,A,kew-2684249,"",FALSE,"","","",""
Bryonia alba,L.,svartgallebær,D2,Selvstendig reproduserende,LO,Bryonia alba L.,Bryonia alba L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,3,343,1,wfo-0000572927,urn:lsid:ipni.org:names:291541-1,816018,Bryonia alba,species,wfo-4000005591,L.,Cucurbitaceae,"","",,Bryonia,"",alba,"",species,Valid,Sp. Pl. : 1012 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 2: 1012. 1753 [1 May 1753]  to Sp. Pl. : 1012 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-",http://www.theplantlist.org/tpl1.1/record/kew-2684337,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2684337,"",FALSE,"","","",""
Bryonia cretica subsp. dioica,(Jacq.) Tutin,rødgallebær,C0,Dørstokkart,LO,Bryonia cretica subsp. dioica,Bryonia cretica subsp. dioica (Jacq.) Tutin,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,344,1,wfo-0000572963,urn:lsid:ipni.org:names:77200692-1,816051,Bryonia cretica  subsp. dioica,subspecies,wfo-0000572960,(Jacq.) Tutin,Cucurbitaceae,"","",,Bryonia,"",cretica,dioica,subspecies,Valid,Feddes Repert. 79(Heft 1-2): 61. 1968 [20 Aug 1968],Accepted,"",wfo-0000572974,,"Source in seed data: cmp Update namepublishedIn from Feddes Repert. 79: 61 1968  to Feddes Repert. 79: 61 (1968), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2",http://www.theplantlist.org/tpl1.1/record/kew-2684370,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2684370,"",FALSE,"","","",""
Bubalus bubalis,"(Linnaeus, 1758)",vannbøffel,B2,Økologisk effekt uten selvstendig reproduksjon innen 50 år,NK,Bubalus bubalis,"Bubalus bubalis (Linnaeus, 1758)",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,TRUE,9,345,1,wfo-4000035363,urn:lsid:ipni.org:names:331962-2,40000236,Silene,genus,wfo-7000000117,L.,Caryophyllaceae,"","",,Silene,"","","",genus,Valid,Sp. Pl. : 416 (1753),Accepted,"","",,"Source in seed data: TPL1.1 Update namepublishedIn from Sp. Pl. 1: 416. 1753. (1 May 1753)  to Sp. Pl. : 416 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/1.1/browse/A/Car","",The Caryophyllales Taxonomic Expert Network,A,"","",TRUE,Synonym,wfo-4000009999,Cucubalus,""
Bucephala albeola,"(Linnaeus, 1758)",bøffeland,"",Ikke fremmed,NR,Bucephala albeola,"Bucephala albeola (Linnaeus, 1758)",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,TRUE,8,346,1,wfo-4000039469,urn:lsid:ipni.org:names:332039-2,40020037,Trophis,genus,wfo-7000000395,P.Browne,Moraceae,"","",,Trophis,"","","",genus,Valid,Civ. Nat. Hist. Jamaica : 357 (1756),Accepted,"","",,"Source in seed data: TPL1.1 Update namepublishedIn from Civ. Nat. Hist. Jamaica 357–358, t. 37, f. 1. 1756. (10 Mar 1756)  to Civ. Nat. Hist. Jamaica : 357 (1756), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a ","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,"","",TRUE,Synonym,wfo-4000005644,Bucephalon,""
Buddleja davidii,Franch.,sommerfuglbusk,C3,Selvstendig reproduserende,HI,Buddleja davidii Franch.,Buddleja davidii Franch.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,8,347,1,wfo-0000574004,urn:lsid:ipni.org:names:545734-1,817063,Buddleja davidii,species,wfo-4000005691,Franch.,Scrophulariaceae,"","",,Buddleja,"",davidii,"",species,Valid,"Nouv. Arch. Mus. Hist. Nat. , sér. 2, 10: 65 (1887 publ. 1888)",Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Nouv. Arch. Mus. Hist. Nat. sér. 2, 10: 65. 1888 [1887 publ. 1888]  to Nouv. Arch. Mus. Hist. Nat. , sér. 2, 10: 65 (1887 publ. 1888), information provided by Alan E. on email Jun. 07 2021 More detai",http://www.theplantlist.org/tpl1.1/record/kew-2685390,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2685390,"",FALSE,"","","",""
Bugula neritina,"","",A,Dørstokkart,LO,Bugula neritina,Bugula neritina ,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,TRUE,9,348,1,wfo-4000005710,urn:lsid:ipni.org:names:20706-1,40032976,Bugula,genus,"",Tourn. ex Mill.,"","","",,Bugula,"","","",genus,"",Gard. Dict. Abr. (ed. 4) 1754.,Unchecked,"","",,"Source in seed data:  Updated scientificnameAuthorship from Mill. to Tourn. ex Mill., information provided by Alan E. on email Oct. 12 2020","",tropicos,"","","",FALSE,"","","",""
Bugula stolonifera,"","",A,Dørstokkart,LO,Bugula stolonifera,Bugula stolonifera ,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,2,349,1,wfo-0001352695,urn:lsid:ipni.org:names:443943-1,443943-1,Luzula stolonifera,species,"",Pourr. ex Lange,Juncaceae,"","",,Luzula,"",stolonifera,"",species,"","Willk. & Lange, Prod. Fl. Hisp. i. 188.",Unchecked,"","",,"Source in seed data: ipni Updated majorGroup from  to A, information provided by Alan E. on email Mar 08 2021","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,"","",FALSE,"","","",""
Bugulina simplex,"(Hincks, 1886)","",C0,Dørstokkart,PH,Bugulina simplex,"Bugulina simplex (Hincks, 1886)",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,TRUE,,350,1,"",,,Bugulina simplex,,,,,,,,,,,,,,,,"",,,,,,,,"",FALSE,"","","",no match found
Bunias orientalis,L.,russekål,E,Selvstendig reproduserende,SE,Bunias orientalis L.,Bunias orientalis L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,3,351,1,wfo-0000574739,urn:lsid:ipni.org:names:279703-1,817766,Bunias orientalis,species,wfo-4000005752,L.,Brassicaceae,"","",,Bunias,"",orientalis,"",species,Valid,Sp. Pl. : 670 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 2: 670. 1753 [1 May 1753]  to Sp. Pl. : 670 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-26",http://www.theplantlist.org/tpl1.1/record/kew-2686094,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2686094,"",FALSE,"","","",""
Bunium bulbocastanum,L.,knollkarve,A,Dørstokkart,LO,Bunium bulbocastanum L.,Bunium bulbocastanum L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,352,1,wfo-0000574803,urn:lsid:ipni.org:names:838875-1,817828,Bunium bulbocastanum,species,wfo-4000005756,L.,Apiaceae,"","",,Bunium,"",bulbocastanum,"",species,Valid,Sp. Pl. : 243 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1: 243. 1753 [1 May 1753]  to Sp. Pl. : 243 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-26",http://www.theplantlist.org/tpl1.1/record/kew-2686156,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2686156,"",FALSE,"","","",""
Bursaphelenchus xylophilus,"(Steiner & Buhrer, 1934)",furuvednematode,A,Dørstokkart,SE,Bursaphelenchus xylophilus,"Bursaphelenchus xylophilus (Steiner & Buhrer, 1934)",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,TRUE,,353,1,"",,,Bursaphelenchus xylophilus,,,,,,,,,,,,,,,,"",,,,,,,,"",FALSE,"","","",no match found
Buteo swainsoni,"Bonaparte, 1838",prærievåk,C0,Dørstokkart,NK,Buteo,"Buteo swainsoni Bonaparte, 1838",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,869,FALSE,FALSE,,354,1,"",,,Buteo,,,,,,,,,,,,,,,,"",,,,,,,,"",FALSE,"","","",no match found
Buxus sempervirens,L.,buksbom,C2,Selvstendig reproduserende,PH,Buxus sempervirens L.,Buxus sempervirens L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,355,1,wfo-0000576626,urn:lsid:ipni.org:names:340317-1,819667,Buxus sempervirens,species,wfo-4000005846,L.,Buxaceae,"","",,Buxus,"",sempervirens,"",species,Valid,Sp. Pl. : 983 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 983 1753  to Sp. Pl. : 983 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2688005 >The Plant ",http://www.theplantlist.org/tpl1.1/record/kew-2688005,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2688005,"",FALSE,"","","",""
Cabomba caroliniana,A.Gray,"",B1,Dørstokkart,HI,Cabomba caroliniana A.Gray,Cabomba caroliniana A.Gray,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,7,356,1,wfo-0000705089,urn:lsid:ipni.org:names:273581-2,28282,Cabomba caroliniana,species,wfo-4000005869,A.Gray,Cabombaceae,"","",,Cabomba,"",caroliniana,"",species,Valid,Ann. Lyceum Nat. Hist. New York 4: 47 (1837),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Ann. Lyceum Nat. Hist. New York 4: 47 1837  to Ann. Lyceum Nat. Hist. New York 4: 47 (1837), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.thep",http://www.theplantlist.org/tpl1.1/record/kew-28282,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-28282,"",FALSE,"","","",""
Cacoecimorpha pronubana,"(Hübner, 1799)","",B1,Dørstokkart,LO,Cacoecimorpha pronubana,"Cacoecimorpha pronubana (Hübner, 1799)",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,TRUE,,357,1,"",,,Cacoecimorpha pronubana,,,,,,,,,,,,,,,,"",,,,,,,,"",FALSE,"","","",no match found
Cacopsylla (Hepatopsylla) rhododendri,(Puton 1871),rododendronsuger,A,Dørstokkart,NK,Cacopsylla,Cacopsylla (Hepatopsylla) rhododendri (Puton 1871),FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,TRUE,,358,1,"",,,Cacopsylla,,,,,,,,,,,,,,,,"",,,,,,,,"",FALSE,"","","",no match found
Caenoscelis subdeplanata,"Brisout de Barneville, 1882","",E,Selvstendig reproduserende,LO,Caenoscelis,"Caenoscelis subdeplanata Brisout de Barneville, 1882",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,TRUE,,359,1,"",,,Caenoscelis,,,,,,,,,,,,,,,,"",,,,,,,,"",FALSE,"","","",no match found
Cairina moschata,"(Linnaeus, 1758)",knoppand,C1,Dørstokkart,NK,Cairina moschata,"Cairina moschata (Linnaeus, 1758)",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,TRUE,9,360,1,wfo-4000006723,urn:lsid:ipni.org:names:12409-1,40001499,Carinavalva,genus,wfo-7000000082,Ising,Brassicaceae,"","",,Carinavalva,"","","",genus,Valid,Trans. Roy. Soc. South Australia 78: 114 (1955),Accepted,"","",,"Source in seed data: TPL1.1 Update namepublishedIn from Trans. Roy. Soc. South Australia lxxviii. 114 (1955).  to Trans. Roy. Soc. South Australia 78: 114 (1955), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a hre","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,"","",FALSE,"","","",""
Calendula arvensis,L.,åkerringblom,C2,Selvstendig reproduserende,LO,Calendula arvensis L.,Calendula arvensis L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,3,361,1,wfo-0000016971,urn:lsid:ipni.org:names:187817-1,GCC-E179469F-9E9F-4180-8827-BE60B5BED790,Calendula arvensis,species,wfo-4000006008,M.Bieb.,Asteraceae,"","",,Calendula,"",arvensis,"",species,Valid,Fl. Taur.-Caucas. 3: 596. [Dec 1819 or early 1820],Accepted,"","",,"Source in seed data: gcc Updated namePublishedIn from Fl. Taur.-Caucas. iii. 596.  to Fl. Taur.-Caucas. 3: 596. [Dec 1819 or early 1820] , according to IPNI. Information provided by Alan E. on email Jul. 15 2020. More details could be found in <a href=ht",http://www.theplantlist.org/tpl1.1/record/gcc-116422,The Asteraceaae TEN,A,gcc-116422,"",FALSE,"","","",smallest ID
Calendula officinalis,L.,ringblom,C2,Selvstendig reproduserende,LO,Calendula officinalis L.,Calendula officinalis L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,3,362,1,wfo-0000007455,urn:lsid:ipni.org:names:187894-1,GCC-B9F21354-DC95-4ADE-9D7D-A9901888F8FA,Calendula officinalis,species,wfo-4000006008,L.,Asteraceae,"","",,Calendula,"",officinalis,"",species,Valid,Sp. Pl. : 921 (1753),Accepted,"","",,"Source in seed data: gcc Update namepublishedIn from Sp. Pl. 2: 921. 1753 [1 May 1753]  to Sp. Pl. : 921 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-10",http://www.theplantlist.org/tpl1.1/record/gcc-107206,The Asteraceaae TEN,A,gcc-107206,"",FALSE,"","","",Accepted
Callinectes sapidus,(Rathbun 1896),"",A,Dørstokkart,LO,Callinectes sapidus,Callinectes sapidus (Rathbun 1896),FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,TRUE,,363,1,"",,,Callinectes sapidus,,,,,,,,,,,,,,,,"",,,,,,,,"",FALSE,"","","",no match found
Callitropsis nootkatensis,(D.Don) Oerst.,nutkasypress,C2,Selvstendig reproduserende,LO,Callitropsis nootkatensis,Callitropsis nootkatensis (D.Don) Oerst.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,364,1,wfo-0000911903,urn:lsid:ipni.org:names:60450448-2,456789,Callitropsis nootkatensis,species,wfo-4000006116,(D.Don) Oerst.,Cupressaceae,"","",,Callitropsis,"",nootkatensis,"",species,Valid,Frilands-Traevaext. 1: 17 (1864),Accepted,"",wfo-0000630759,,"Source in seed data: wcs Update namepublishedIn from Syst. Bot. 31: 474 2006  to Frilands-Traevaext. 1: 17 (1864), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60450448-2,The Caryophyllales TEN,G,kew-456789,"",FALSE,"","","",Not a synonym
