validScientificName,scientificNameAuthorship,phylum,order,family,genus,taxonRank,iucnRedListCategory,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,year,nomenclaturalStatus,taxonomicStatus,New.accepted,Old.name,One.Reason,datasetKey
Rosa subcollina,(Christ) Dalla Torre & Sarnth.,Tracheophyta,Rosales,Rosaceae,Rosa,species,NE,10.4235,63.4454,1414,1938,Valid,Accepted,FALSE,"",Accepted,d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Mesoptychia collaris,(Nees) L. Söderstr. & Váňa,Marchantiophyta,Jungermanniales,Jungermanniaceae,Mesoptychia,species,NE,10.4235,63.4454,1414,1888,"",Unchecked,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Hedlundia hybrida,(L.) Sennikov & Kurtto,Tracheophyta,Rosales,Rosaceae,Hedlundia,species,NE,10.421859,63.445236,23,2021,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Isopterygiella pulchella,(Hedw.) Ignatov & Ignatova,Bryophyta,Hypnales,"",Isopterygiella,species,NE,10.4235,63.4454,1414,1971,"",Unchecked,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Stegonia latifolia,(Schwägr.) Venturi ex Broth.,Bryophyta,Pottiales,Pottiaceae,Stegonia,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Cratoneuron filicinum,(Hedw.) Spruce,Bryophyta,Hypnales,Amblystegiaceae,Cratoneuron,species,NE,10.4262,63.4443,1,2009,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Allium oleraceum var. alpestre,Brügger,Tracheophyta,Asparagales,Amaryllidaceae,Allium,variety,NE,10.422649,63.44469,5,2020,"",Unchecked,FALSE,"",smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c
Alchemilla glaucescens,Wallr.,Tracheophyta,Rosales,Rosaceae,Alchemilla,species,NE,10.421715,63.445212,10,2020,Valid,Accepted,TRUE,Alchemilla glaucescens var. alpina,"",b124e1e0-4755-430f-9eab-894f25a9b59c
Tussilago farfara,L.,Tracheophyta,Asterales,Asteraceae,Tussilago,species,NE,10.421849,63.444854,8,2023,Valid,Accepted,FALSE,"","",50c9509d-22c7-4a22-a47d-8c48425ef4a7
Phedimus spurius,(M.Bieb.) 't Hart,Tracheophyta,Saxifragales,Crassulaceae,Phedimus,species,NE,10.426494,63.444473,5,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Kindbergia praelonga,(Hedw.) Ochyra,Bryophyta,Hypnales,Brachytheciaceae,Kindbergia,species,NE,10.4235,63.4454,1414,1896,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Viola adunca,Sm.,Tracheophyta,Malpighiales,Violaceae,Viola,species,NE,10.421859,63.445236,23,2021,Valid,Accepted,TRUE,Viola canina var. adunca,"",b124e1e0-4755-430f-9eab-894f25a9b59c
Hypochaeris maculata,L.,Tracheophyta,Asterales,Asteraceae,Hypochaeris,species,NE,10.427356,63.444124,5,2020,Valid,Accepted,TRUE,Trommsdorffia maculata subsp. maculata,"",b124e1e0-4755-430f-9eab-894f25a9b59c
Sciuro-hypnum reflexum,(Starke) Ignatov & Huttunen,Bryophyta,Hypnales,Brachytheciaceae,Sciuro-hypnum,species,NE,10.4235,63.4454,1414,1971,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Hieracium bifidum  subsp. stenolepis,(Lindeb.) Zahn,Tracheophyta,Asterales,Asteraceae,Hieracium,subspecies,NE,10.4235,63.4454,1414,1938,Valid,Accepted,FALSE,"","",d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Potentilla argentea,L.,Tracheophyta,Rosales,Rosaceae,Potentilla,species,NE,10.421653,63.445124,8,2021,Valid,Accepted,FALSE,"",Accepted,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Trichostomum littorale,Mitt.,Bryophyta,Pottiales,Pottiaceae,Trichostomum,species,,10.4235,63.4454,1414,1896,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Cheirolophus sempervirens,Pomel,Tracheophyta,Asterales,Asteraceae,Cheirolophus,species,NE,10.427024,63.444321,5,2020,Valid,Accepted,TRUE,Centaurea montana var. alba,"",b124e1e0-4755-430f-9eab-894f25a9b59c
Arabis hirsuta,(L.) Scop.,Tracheophyta,Brassicales,Brassicaceae,Arabis,species,NE,10.422649,63.44469,5,2020,Valid,Accepted,FALSE,"",Not a synonym,b124e1e0-4755-430f-9eab-894f25a9b59c
Syntrichia ruralis,(Hedw.) F.Weber & D.Mohr,Bryophyta,Pottiales,Pottiaceae,Syntrichia,species,NE,10.4235,63.4454,1414,1988,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Homalothecium sericeum,(Hedw.) Schimp.,Bryophyta,Hypnales,Brachytheciaceae,Homalothecium,species,NE,10.420942,63.445461,100,2023,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Distichium inclinatum,(Hedw.) Bruch & Schimp.,Bryophyta,Scouleriales,Distichiaceae,Distichium,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
